"TIME","CH1","CH2"
6.7560690e-01,-0.04,-0.4
6.7560700e-01,-0.04,-0.3
6.7560710e-01,-0.08,-0.4
6.7560720e-01,0.04,-0.3
6.7560730e-01,-0.08,-0.2
6.7560740e-01,-0.04,-0.4
6.7560750e-01,0,-0.4
6.7560760e-01,-0.08,-0.7
6.7560770e-01,-0.12,-0.3
6.7560780e-01,-0.08,-0.4
6.7560790e-01,0,-0.3
6.7560800e-01,0.04,-0.3
6.7560810e-01,-0.04,-0.3
6.7560820e-01,-0.12,-0.2
6.7560830e-01,-0.04,-0.6
6.7560840e-01,-0.12,-0.4
6.7560850e-01,-0.08,-0.6
6.7560860e-01,-0.08,-0.1
6.7560870e-01,-0.16,-0.4
6.7560880e-01,-0.16,-0.2
6.7560890e-01,0.04,-0.2
6.7560900e-01,-0.08,-0.6
6.7560910e-01,0,-0.5
6.7560920e-01,-0.08,-0.1
6.7560930e-01,0,-0.3
6.7560940e-01,-0.04,-0.7
6.7560950e-01,0,-0.7
6.7560960e-01,-0.12,-0.7
6.7560970e-01,-0.08,-0.3
6.7560980e-01,0,-0.4
6.7560990e-01,-0.04,-0.4
6.7561000e-01,-0.04,-0.4
6.7561010e-01,-0.08,-0.6
6.7561020e-01,0.04,-0.4
6.7561030e-01,-0.12,-0.5
6.7561040e-01,-0.12,-0.5
6.7561050e-01,-0.16,-0.5
6.7561060e-01,-0.16,-0.7
6.7561070e-01,-0.2,-0.6
6.7561080e-01,-0.04,-0.2
6.7561090e-01,-0.2,-0.4
6.7561100e-01,-0.12,-0.5
6.7561110e-01,-0.2,-0.5
6.7561120e-01,-0.04,-0.4
6.7561130e-01,-0.08,-0.6
6.7561140e-01,-0.04,-0.4
6.7561150e-01,-0.04,-0.6
6.7561160e-01,-0.04,-0.6
6.7561170e-01,0.08,-0.5
6.7561180e-01,-0.12,-0.6
6.7561190e-01,0,-0.6
6.7561200e-01,-0.04,-0.7
6.7561210e-01,0,-0.5
6.7561220e-01,-0.08,-0.5
6.7561230e-01,-0.12,-0.5
6.7561240e-01,-0.12,-0.6
6.7561250e-01,0,-0.7
6.7561260e-01,-0.2,-0.3
6.7561270e-01,-0.04,-0.6
6.7561280e-01,-0.16,-0.5
6.7561290e-01,-0.16,-0.7
6.7561300e-01,-0.16,-0.6
6.7561310e-01,-0.04,-0.6
6.7561320e-01,-0.12,-0.7
6.7561330e-01,0,-0.5
6.7561340e-01,-0.08,-0.5
6.7561350e-01,-0.04,-0.5
6.7561360e-01,-0.16,-0.6
6.7561370e-01,-0.16,-0.5
6.7561380e-01,-0.12,-0.4
6.7561390e-01,-0.08,-0.3
6.7561400e-01,-0.04,-0.6
6.7561410e-01,0,-0.2
6.7561420e-01,-0.16,-0.4
6.7561430e-01,-0.04,-0.4
6.7561440e-01,-0.04,-0.2
6.7561450e-01,-0.04,-0.5
6.7561460e-01,-0.24,-0.5
6.7561470e-01,-0.08,-0.4
6.7561480e-01,-0.12,-0.5
6.7561490e-01,-0.04,-0.7
6.7561500e-01,0.04,-0.5
6.7561510e-01,0.04,-0.5
6.7561520e-01,-0.04,-0.6
6.7561530e-01,-0.2,-0.5
6.7561540e-01,0.04,-0.7
6.7561550e-01,0,-0.5
6.7561560e-01,0,-0.3
6.7561570e-01,-0.08,-0.4
6.7561580e-01,0,-0.5
6.7561590e-01,-0.12,-0.5
6.7561600e-01,0,-0.8
6.7561610e-01,-0.12,-0.4
6.7561620e-01,-0.04,-0.4
6.7561630e-01,-0.12,-0.5
